engine_chamber_pressure_time,engine_chamber_pressure,ethanol_injector_pressure_time,ethanol_injector_pressure,ethanol_injector_temperature_time,ethanol_injector_temperature,N2O_tank_temperature_bot_time,N2O_tank_temperature_bot,N2O_tank_temperature_top_time,N2O_tank_temperature_top,N2O_injector_temperature_time,N2O_injector_temperature,N2O_injector_pressure_time,N2O_injector_pressure,N2O_tank_pressure_time,N2O_tank_pressure,thrust1_time,thrust1,thrust2_time,thrust2,thrust3_time,thrust3,thrust4_time,thrust4,thrust5_time,thrust5,thrust6_time,thrust6
15:29:22.926,20,15:29:22.926,23,15:29:22.926,77,15:29:22.926,88,15:29:22.926,0,15:29:22.926,34,15:29:22.926,7,15:29:22.926,15,15:29:22.926,25,15:29:22.926,77,15:29:22.926,77,15:29:22.926,31,15:29:22.926,80,15:29:22.926,74
15:29:23.937,93,15:29:23.937,49,15:29:23.937,20,15:29:23.937,84,15:29:23.937,22,15:29:23.937,18,15:29:23.937,89,15:29:23.937,20,15:29:23.937,0,15:29:23.937,53,15:29:23.937,53,15:29:23.937,39,15:29:23.937,22,15:29:23.937,5
15:29:24.933,51,15:29:24.933,81,15:29:24.933,24,15:29:24.933,94,15:29:24.933,60,15:29:24.933,38,15:29:24.933,47,15:29:24.933,48,15:29:24.933,63,15:29:24.933,1,15:29:24.933,1,15:29:24.933,51,15:29:24.933,95,15:29:24.933,91
15:29:25.935,95,15:29:25.935,96,15:29:25.935,62,15:29:25.935,1,15:29:25.935,74,15:29:25.935,71,15:29:25.935,95,15:29:25.935,77,15:29:25.935,45,15:29:25.935,96,15:29:25.935,96,15:29:25.935,86,15:29:25.935,60,15:29:25.935,87
15:29:26.934,71,15:29:26.934,40,15:29:26.934,48,15:29:26.934,15,15:29:26.934,8,15:29:26.934,17,15:29:26.934,45,15:29:26.934,59,15:29:26.934,2,15:29:26.934,92,15:29:26.934,92,15:29:25.935,86,15:29:26.934,85,15:29:26.934,29
15:29:27.933,42,15:29:27.933,76,15:29:27.933,35,15:29:27.933,35,15:29:27.933,37,15:29:27.933,41,15:29:27.933,3,15:29:27.933,80,15:29:27.933,94,15:29:27.933,48,15:29:27.933,48,15:29:27.933,31,15:29:27.933,10,15:29:27.933,52
15:29:28.933,90,15:29:28.933,45,15:29:28.933,23,15:29:28.933,87,15:29:28.933,38,15:29:28.933,6,15:29:28.933,41,15:29:28.933,62,15:29:28.933,41,15:29:28.933,18,15:29:28.933,18,15:29:28.933,69,15:29:28.933,94,15:29:28.933,27
15:29:29.930,36,15:29:29.930,35,15:29:29.930,43,15:29:29.930,72,15:29:29.930,99,15:29:29.930,100,15:29:29.930,77,15:29:29.930,65,15:29:29.930,30,15:29:29.930,73,15:29:29.930,73,15:29:29.930,2,15:29:29.930,57,15:29:29.930,65
15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10,15:29:30.000,10
15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10,15:29:30.100,10
15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10,15:29:30.200,10
15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10,15:29:30.300,10
15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10,15:29:30.400,10
15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10,15:29:30.500,10
15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10,15:29:30.600,10
15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10,15:29:30.700,10
15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10,15:29:30.800,10
15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10,15:29:30.900,10
